Run,F1 Score
ResNet 60.0%,[0.9489708404802745 0.9327303561334087 0.9579356663131848 0.9578761061946903 0.9579356663131848 0.9405721623742598 0.9915584876214798 0.9326542161856253 0.9746754628644393 0.9325396825396826]
VGG19 60.0%,[0.9578761061946903 0.9159604519774012 0.9747256637168141 0.949490662139219 0.9915368750444492 0.9662698412698413 0.9746754628644393 0.9492897727272727 0.9747256637168141 0.9243483788938335]
CLIP 60.0%,[0.9495477671000565 0.9578761061946903 0.9746754628644393 0.9495477671000565 0.9577924381073988 0.9576843752222459 0.9663271080928126 0.9747256637168141 0.9495477671000565 0.9746754628644393]
DINOv2 60.0%,[0.9579356663131848 0.9578761061946903 0.983048433048433 0.983048433048433 0.9745309267318256 0.9573934837092731 0.9915584876214798 0.9915368750444492 0.983096590909091 0.9494047619047619]
DINOv3 60.0%,[0.9578761061946903 0.9579356663131848 0.9747256637168141 0.9915584876214798 1.0 0.9915368750444492 0.9915368750444492 0.983048433048433 0.9746754628644393 0.949490662139219]
ResNet 70.0%,[0.9409094133503582 0.9746106251333475 0.9577924381073988 0.9325396825396826 0.9410265486725664 0.9410265486725664 0.9579356663131848 0.9663271080928126 0.9663271080928126 0.9579356663131848]
VGG19 70.0%,[0.9746106251333475 0.9405721623742598 0.9915584876214798 0.9579356663131848 0.9662698412698413 0.9577924381073988 0.9661931818181818 0.9578761061946903 0.9579356663131848 0.9660968660968661]
CLIP 70.0%,[0.9915584876214798 0.949490662139219 0.9915584876214798 0.949490662139219 0.9487657864523535 0.9831349206349206 0.9663271080928126 0.9578761061946903 0.9578761061946903 0.9576843752222459]
DINOv2 70.0%,[0.9410265486725664 0.9662698412698413 0.9576843752222459 0.9662698412698413 0.9491452991452991 0.9577924381073988 0.9663271080928126 0.9663271080928126 0.9577924381073988 0.9746106251333475]
DINOv3 70.0%,[1.0 0.9831349206349206 0.9915368750444492 0.9915584876214798 0.9747256637168141 0.9831349206349206 0.9747256637168141 0.9915368750444492 0.9495477671000565 0.983048433048433]
ResNet 80.0%,[0.9579356663131848 0.913768115942029 0.9326542161856253 0.9158177702320316 0.9575515445530427 0.9411099328384589 0.9405721623742598 0.9316877152698049 0.9225988292259883 0.9058612010068321]
VGG19 80.0%,[0.9915368750444492 0.9579356663131848 0.9661931818181818 0.9747256637168141 0.9579356663131848 0.9915584876214798 0.9579356663131848 0.9915584876214798 0.9747256637168141 0.906905625488941]
CLIP 80.0%,[0.9661931818181818 0.9831349206349206 0.983096590909091 0.9579356663131848 0.983048433048433 0.983096590909091 0.9578761061946903 0.9746754628644393 0.9747256637168141 0.9915368750444492]
DINOv2 80.0%,[0.983096590909091 0.9745309267318256 0.9747256637168141 0.9745309267318256 0.983096590909091 0.9915584876214798 0.9662698412698413 0.9915584876214798 0.9663271080928126 0.9661931818181818]
DINOv3 80.0%,[0.983096590909091 0.9915584876214798 0.9746754628644393 0.9915584876214798 0.9663271080928126 0.9831349206349206 0.983096590909091 0.9915584876214798 0.9662698412698413 0.9662698412698413]
ResNet 90.0%,[0.9663271080928126 0.9578761061946903 0.9747256637168141 0.9747256637168141 0.9313725490196079 0.9575515445530427 0.9663271080928126 0.9661931818181818 0.9661931818181818 0.949490662139219]
VGG19 90.0%,[1.0 0.9663271080928126 0.9662698412698413 0.9662698412698413 0.9238318754000427 0.9747256637168141 0.9663271080928126 0.9746754628644393 0.9831349206349206 0.9579356663131848]
CLIP 90.0%,[0.9915584876214798 0.9663271080928126 0.9494047619047619 0.9578761061946903 0.9663271080928126 0.9915368750444492 0.9409094133503582 0.9579356663131848 0.9746106251333475 0.9831349206349206]
DINOv2 90.0%,[0.9831349206349206 0.9747256637168141 0.9831349206349206 0.983096590909091 0.9662698412698413 0.9579356663131848 0.9663271080928126 0.9746754628644393 0.9747256637168141 0.9578761061946903]
DINOv3 90.0%,[0.9746754628644393 0.9831349206349206 0.9746754628644393 0.9746754628644393 0.9915584876214798 0.9831349206349206 0.9662698412698413 0.9747256637168141 0.9915584876214798 0.9579356663131848]
ResNet 100%,[0.9325396825396826 0.9579356663131848 0.9579356663131848 0.9579356663131848 0.9578761061946903 0.9578761061946903 0.9663271080928126 0.9663271080928126 0.9579356663131848 0.9579356663131848]
VGG19 100%,[0.9660968660968661 0.9327683615819209 0.9579356663131848 0.9048760991207034 0.9578761061946903 0.9577924381073988 0.9663271080928126 0.9660968660968661 0.965980560320183 0.9578761061946903]
CLIP 100%,[1.0 0.983096590909091 0.9915584876214798 1.0 0.983048433048433 0.9747256637168141 0.9915584876214798 0.9747256637168141 0.9663271080928126 0.9579356663131848]
DINOv2 100%,[0.9915368750444492 0.9915584876214798 0.9915368750444492 0.9915368750444492 0.9747256637168141 0.983048433048433 0.9915368750444492 1.0 0.9660968660968661 0.983048433048433]
DINOv3 100%,[1.0 1.0 1.0 1.0 0.9915584876214798 0.983096590909091 0.983096590909091 1.0 1.0 1.0]
